
---------------------------------------------- [malloc] [cover]
22-May 19:43:11 test215         3.3 sec     1:  1444 of 25105  94.2%     0.31/s
22-May 19:43:29 test193        17.3 sec     5:  1439 of 25105  94.3%     0.29/s
22-May 19:46:15 test195       165.4 sec    39:  1400 of 25105  94.4%     0.24/s
22-May 19:46:41 test243        25.2 sec     7:  1393 of 25105  94.5%     0.28/s
22-May 19:46:49 test29          6.5 sec     3:  1390 of 25105  94.5%     0.46/s
22-May 19:46:50 testc2(0,0)     1.0 sec     7:  1383 of 25105  94.5%     7.33/s
22-May 19:47:13 testc2(0,0)    21.7 sec     1:  1382 of 25105  94.5%     0.05/s
22-May 19:47:14 testc4(0)       0.5 sec     4:  1378 of 25105  94.5%     7.51/s
22-May 19:47:29 testc7(0)      14.8 sec     2:  1376 of 25105  94.5%     0.14/s
22-May 19:47:35 testcc(1)       5.2 sec     1:  1375 of 25105  94.5%     0.19/s
22-May 19:47:45 test187         8.7 sec     3:  1372 of 25105  94.5%     0.34/s
22-May 19:47:51 test192         5.9 sec     1:  1371 of 25105  94.5%     0.17/s
22-May 19:48:11 test181        19.1 sec     4:  1367 of 25105  94.6%     0.21/s
22-May 19:50:06 test185       114.0 sec     6:  1361 of 25105  94.6%     0.05/s
22-May 19:50:53 test53         46.6 sec     4:  1357 of 25105  94.6%     0.09/s
22-May 19:51:44 test17         50.2 sec    27:  1330 of 25105  94.7%     0.54/s
22-May 19:59:16 test231       451.5 sec   162:  1168 of 25105  95.3%     0.36/s
22-May 20:54:05 test10       3288.1 sec   968:   200 of 25105  99.2%     0.29/s
22-May 21:13:05 test75b      1139.1 sec   155:    45 of 25105  99.8%     0.14/s
22-May 21:14:37 test21b        90.8 sec    26:    19 of 25105  99.9%     0.29/s
22-May 21:15:31 testca(1)      53.1 sec     5:    14 of 25105  99.9%     0.09/s
22-May 21:17:31 test81        119.2 sec     1:    13 of 25105  99.9%     0.01/s
22-May 21:23:42 test18        370.4 sec    13:   all 25105 full 100%     0.04/s
[malloc debugging turned back on]
